FunctionId,SubmitTime,RTT,InvocationDelay,ResponseDelay,FunctionDuration,ActiveFunctionsAtRequest,ActiveFunctionsAtResponse
1179,1712,1100,19.5205078125,14.03466796875,1066.4448738098145,1000,998
1180,1713,1145,18.573486328125,14.38037109375,1112.0460033416748,1000,999
1181,1713,1125,16.63916015625,33.369384765625,1074.9914646148682,1000,999
1182,1713,1127,19.002685546875,33.071533203125,1074.9256610870361,1000,999
1183,1714,1097,20.736572265625,14.30224609375,1061.9611740112305,1000,999
1184,1714,1144,18.617431640625,14.3564453125,1111.0262870788574,1000,999
1185,1716,1130,19.177978515625,14.101806640625,1096.7202186584473,1000,999
1186,1719,1147,18.672119140625,32.966552734375,1095.3614711761475,1000,999
1187,1720,1106,18.470703125,27.473876953125,1060.0552558898926,1000,999
1188,1721,1104,19.639892578125,14.5595703125,1069.800615310669,1000,999
1189,1722,1142,17.311279296875,32.744140625,1091.944694519043,1000,999
1190,1722,1122,21.17138671875,13.776123046875,1087.052345275879,1000,999
1191,1723,1106,18.3271484375,13.974365234375,1073.6982822418213,1000,999
1192,1724,1124,18.5087890625,15.197021484375,1091.2940502166748,1000,999
1193,1725,1107,19.25048828125,13.97802734375,1073.7714767456055,1000,999
1194,1726,1122,17.78076171875,13.996826171875,1090.2223587036133,999,999
1195,1726,1103,18.740478515625,14.281005859375,1069.9784755706787,1000,999
1196,1727,1120,18.82470703125,14.310791015625,1086.8644714355469,1000,999
1197,1727,1174,28.788818359375,32.77001953125,1112.4413013458252,1000,998
1198,1727,1099,20.38525390625,33.8388671875,1044.7759628295898,1000,999
1199,1728,1135,17.767578125,13.526123046875,1103.7063598632812,1000,998
1200,1730,1136,21.572021484375,34.45458984375,1079.9732208251953,1000,999
1201,1731,1112,24.42919921875,33.224365234375,1054.3463230133057,1000,999
1202,1731,1166,18.84326171875,14.171875,1132.9848766326904,1000,998
1203,1731,1138,19.48681640625,14.603515625,1104.9096584320068,1000,999
1204,1736,1165,19.444580078125,15.262451171875,1130.2931308746338,1000,999
1205,1736,1146,17.575927734375,14.848876953125,1113.5752201080322,1000,999
1206,1737,1081,18.26806640625,15.12646484375,1047.6055145263672,999,999
1207,1737,1148,19.71826171875,13.917724609375,1114.3639087677002,999,999
1208,1737,1121,23.484619140625,14.884765625,1082.6306343078613,999,999
1209,1737,1128,18.650390625,14.456787109375,1094.8927402496338,1000,999
1210,1738,1148,18.97119140625,14.1064453125,1114.9225234985352,1000,999
1211,1739,1150,18.318115234375,35.927001953125,1095.754861831665,1000,999
1212,1742,1155,19.021728515625,14.584228515625,1121.3939189910889,1000,999
1213,1742,1146,18.59130859375,13.941650390625,1113.4672164916992,1000,999
1214,1743,1142,20.145263671875,13.289794921875,1108.565092086792,1000,999
1215,1744,1132,18.338134765625,13.708251953125,1099.9536514282227,1000,999
1216,1744,1106,19.423828125,15.04541015625,1071.530818939209,1000,999
1217,1744,1141,18.9990234375,14.654052734375,1108.346939086914,1000,999
1218,1745,1131,21.0595703125,13.851806640625,1096.0886478424072,1000,999
1219,1745,1077,19.16064453125,15.2607421875,1042.5786972045898,1000,999
1220,1746,1171,17.221435546875,13.6005859375,1140.1779651641846,1000,999
1221,1746,1143,19.753173828125,34.14013671875,1089.106559753418,1000,999
1222,1747,1110,17.9287109375,14.319091796875,1077.7521133422852,1000,999
1223,1747,1106,17.775146484375,13.724609375,1074.5000839233398,1000,999
1224,1747,1148,19.721923828125,13.555908203125,1114.7222518920898,1000,998
1225,1748,1141,19.662841796875,16.369873046875,1104.9673557281494,1000,998
1226,1748,1100,20.18017578125,13.45166015625,1067.3682689666748,1000,999
1227,1749,1093,24.691650390625,14.76171875,1053.546667098999,1000,999
1228,1749,1206,20.06591796875,34.42236328125,1151.5119075775146,1000,999
1229,1752,1115,20.075439453125,13.91064453125,1081.0139179229736,1000,999
1230,1756,1145,19.74365234375,33.027099609375,1092.2291278839111,1000,998
1231,1756,1139,21.015625,14.10693359375,1103.877305984497,1000,999
1232,1757,1106,18.314208984375,13.56689453125,1074.1188526153564,1000,999
1233,1758,1156,19.767333984375,34.386474609375,1101.8462181091309,999,999
1234,1758,1107,18.4931640625,14.148193359375,1074.3587017059326,1000,999
1235,1761,1104,18.57861328125,14.1689453125,1071.2523460388184,1000,999
1236,1762,1063,19.386474609375,14.1845703125,1029.4287204742432,999,999
1237,1762,1126,20.683837890625,14.126220703125,1091.1898612976074,1000,999
1238,1765,1136,19.9716796875,14.785400390625,1101.243019104004,1000,999
1239,1765,1072,19.6591796875,14.0244140625,1038.3164882659912,999,999
1240,1765,1139,20.854248046875,33.572021484375,1084.573745727539,1000,999
1241,1766,1099,18.760009765625,33.75439453125,1046.4856624603271,1000,999
1242,1766,1119,38.214599609375,14.32958984375,1066.455602645874,1000,999
1243,1767,1157,24.613037109375,34.457275390625,1097.9297161102295,1000,999
1244,1767,1087,18.872802734375,14.389892578125,1053.7371635437012,1000,999
1245,1774,1186,20.337646484375,33.69482421875,1131.967544555664,1000,999
1246,1774,1171,21.2138671875,14.599365234375,1135.1866722106934,1000,999
1247,1775,1168,22.17138671875,34.090576171875,1111.7382049560547,1000,999
1248,1775,1139,20.38916015625,43.382080078125,1075.2286911010742,1000,999
1249,1776,1148,21.905517578125,34.138427734375,1091.9561386108398,1000,997
1250,1776,1109,20.621826171875,15.23046875,1073.1477737426758,1000,999
1251,1780,1121,19.453125,13.602294921875,1087.944507598877,1000,999
1252,1782,1141,18.54833984375,33.778564453125,1088.6731147766113,1000,999
1253,1784,1064,20.470947265625,14.034912109375,1029.494047164917,1000,999
1254,1784,1115,18.4228515625,14.5673828125,1082.0097923278809,1000,999
1255,1788,1106,17.44873046875,14.58447265625,1073.9667415618896,1000,999
1256,1795,1139,24.486572265625,14.578369140625,1099.9350547790527,1000,999
1257,1803,1121,19.07958984375,34.003173828125,1067.9171085357666,1000,998
